id,voiceprofiles_id,language_id
7,06594a42-e0d1-45b0-bc4e-e64c7fc2160d,1
32,436b8d5e-384b-4789-a99b-1681c025005b,1
46,436b8d5e-384b-4789-a99b-1681c025005b,2
5,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,1
6,478a5ae4-6e9d-43e1-a44f-e07793ef5b40,2
14,791eb7bd-375f-4e26-be26-5ff6eb1d1549,1
17,84b1efac-67da-457c-a4a2-43f4ba68ac7b,2
45,a0b1d818-6541-469b-84dc-1cf18ed7b79c,2
4,abf2d6ad-9405-46d4-96a0-eaf078407349,2
18,aca43876-9836-419c-9aa5-94e5d1d063bf,1
19,aca43876-9836-419c-9aa5-94e5d1d063bf,2
12,b02ee0e1-48ec-422e-8ae2-3163e7ca6046,1
13,b02ee0e1-48ec-422e-8ae2-3163e7ca6046,2
1,e1a011dd-6141-4ed7-bb13-355ad3e35f0e,1
22,e2531acb-ad1e-4408-94ca-77dd3279d208,1
23,e2531acb-ad1e-4408-94ca-77dd3279d208,2
2,efac1c0c-2564-4597-b598-a4615f38f3b0,1
3,efac1c0c-2564-4597-b598-a4615f38f3b0,2
43,fb966303-44e2-413c-ad62-51952a2acb94,9
